s,pid,qid,passage,queries,relevancy,new
57330,78390,78390,disco sensation andy gibb dies age 30 knee-buckling good looks brothers songwriting talents backing 19-year-old andy gibb staged unprecedented display youthful pop mastery 12 months following american debut spring 1977,andy gibb die,1,0.0022686201664417
58403,63250,63250,jammed finger toe treated ice reduce swelling alleviate muscle tissue damage put splint jammed toe finger tips fr skip navigation,jammed finger,1,0.0022466024078607
58461,424524,424524,best answer : tree pruner actually double lever since fulcrum pivot point situated points outforce inforce applied,type lever tree,1,0.002245218492428
59489,416636,416636,lizards name monsters inc kgb answers » arts entertainment » films » lizards name monsters inc lizard monsters inc called randall boggs voice provided steve buscemi randall resembles anthropomorphic lizard,whats lizard monsters inc name,1,0.0022250211911424
59501,321714,321714,gain weight consume 1600 calories day one meals 400 calories snack total 400 calories day prefer 430 435 calories meal keep snack total 300 calories – whatever works best,many calories consumed meal,1,0.0022247243403222
60131,210669,210669,british english statute mile may refer present international miles form english mile since 1593 act parliament set distance 1760 yards american law however statute mile refers us survey mile,statute miles definition,1,0.0022121071879759
60400,377722,377722,included brief explanation different singing ranges explanation codes outside guidelines range female voice ranges : alto contralto lowest female voice range generally similar male tenor range – f middle c high f3-d5 choral work altos generally support harmony soprano ’ melody famous pop alto singers include adele alison moyet shirley bassey patsy cline,lowest female voice range,1,0.0022070548940884
60450,377465,377465,educational system sweden based nine-year primary school grundskola mandatory attendance following comes elective three-year secondary school gymnasieskola divided two instances either prepare higher education receive vocational education,educational system sweden,1,0.0022060111082789
60713,388260,388260,ankle swelling also due pregnancy overweight vascular problems orthopedic conditions bone fracture sprained ankle swollen ankles also indicate potentially serious disorder congestive heart failure deep vein thrombosis liver failure ankle swelling indicate potentially life-threatening illness seek prompt medical care talk medical professional symptoms,causes swollen ankle,1,0.002200802054285
62546,369458,369458,vietnamese new year 2019 tet nguyen dan - new year vietnam vietnamese new year 2019 celebrated 16th february 2019 vietnamese culture important day also called tet short form tet nguyen dan considered popular festival year vietnam,vietnamese happy new year,1,0.0021660302306698
62754,373830,373830,best foods lupus include : organic unprocessed foods : help reduce exposure synthetic additives toxins pesticides non-organic foods ; raw vegetables : promote alkaline body reduce inflammation improve digestion ; wild-caught fish : provide omega-3 fats help reduce inflammation risk heart disease pain,foods good lupus,1,0.0021624883955934
64367,383679,383679,ferrous sulfate 65mg elemental iron per 325 mg dried ferrous sulfate 50mg elemental iron per 160mg rda percentage listed bottles 475mg ferrous sulfate 264 % 50mg elemental iron 160mg dried listed 277 % rda possibly correct,ferrous sulfate many elemental iron,1,0.0021334111122003
64944,393679,393679,montana 559 miles east west 321 miles north south geographic center explanation : geographic center montana located fergus county 11 miles w lewistown longitude : 109° 383w latitude : 41° 19n : borders : montana bordered canada north idaho wyoming south east montana bordered north south dakota west montana bordered idaho total area : montana covers 147046 square miles making 4th largest 50 states right alaska texas california land area,many miles across montana,1,0.0021227257722875
65478,418398,418398,transcript lamb slaughter lamb slaughter roald dahl dynamic character oxymoron static characters verbal irony dramatic irony protagonist exposition plot main character involved conflict : protagonist lamb slaughter mary maloney omniscient—the narrator all-knowing outsider enter minds one character characters change story : events story : mrmaloney arrives home delivers bad news mrsmaloney,author lamb slaughter,1,0.0021134066885484
65535,412166,412166,derrick rose needed lot help getting college one day sorta implicated academic scandal university memphis new report claims derrick rose may high school grades changed order fool colleges applying didnt guy homework,derrick rose graduate,1,0.0021124730005158
65671,377991,377991,peg ratio simply proxy nothing also consensus whether use trailing forward pe ratio whether use next years expected growth rate longer-term expected growth rate major impact peg ratio calculation beware 5-year growth rates,peg ratio,1,0.0021101914479648
65961,382042,382042,corsicana texas corsicana county seat largest city navarro county central portion county fifty-eight miles southeast dallas junction interstate 45 us highways 75 287 state highways 22 31 established 1848 serve county seat newly-established navarro county,town corsicana,1,0.0021053982347466
66812,390806,390806,blue atlas cedar one fairly common plants often used incorrectly somewhere along line got labeled tall narrow plant could used tight quarters beautiful home blue atlas cedar planted 5′ foundation,atlas cedars,1,0.0020910945999237
67840,377057,377057,quick answer n2f4 chemical formula chemical compound tetrafluorohydrazine dinitrogen tetrafluoride colorless inorganic gas extremely hazardous produced nitrogen trifluoride inorganic gas toxic colorless nonflammable using iron ironii fluoride,chemical formula oxygen tetrafluoride,1,0.0020738010628919
69407,382654,382654,white pine millings located address 119 loghouse rd racine west virginia 25165 contacted via phone 304 837-7940 pricing hours directions white pine millings annual sales volume 501k - 999999 maps directions white pine millings view map right,white pine millings wv,1,0.0020473006764451
69831,409424,409424,root title : mirroring eps18_m1rr0r1ngqt episode summary : elliot realizes mr robot christian slaters character projection father angela gets offer join e-corp give principles,title character mt robot,1,0.0020398523615713
70566,392453,392453,places yellowstone park erosion hillside reveals layers upright petrified trees specimen ridge said 27 layers specimen creek contains 50this means specimen creek formation especially huge—its total vertical height 1000 meters 3400 feetut petrified ‘ forests ’ prostrate lying trees tend align direction also even upright trunks turned long axis aligned way consistent common force eg moving water mud acted uprooted,upright pertrified trees,1,0.0020282393019331
70849,286659,286659,quick answer submerged underwater hippos hold breath 5 minutes even longer needed hippos nostrils located top heads allows breathe even rest body water continue reading,long hippo hold breath underwater,1,0.0020237087261892
71214,387939,387939,recovery oxygen level may back come oxygen sometimes acute illness last straw causes need supplemental oxygen point doctor feels need use oxygen use without fear causing dependence,depended oxygen,1,0.0020179972644135
73167,372602,372602,cilostazol - clinical use 1 cilostazol approved treatment intermittent claudication 2 cilostazol also frequently used off-label dose treatment intracranial atherosclerosis secondary stroke prevention [ 1 ] 3 cilostazol dangerous people severe heart failure,cilostazol treat,1,0.0019880647919248
73244,410912,410912,settlement house movement began 1884 aimed provide education social services working poor settlement houses formed answer … growing number poor due industrial revolution first settlement house movement founded new york city 1888 chicago 1889,goal americanization programs settlement houses,1,0.0019869931408986
74215,425637,425637,vhs tapes came 1978 really intended replace anything ways full-length movies home viewing prior time betamax tapes market year earlier intended compete vhs meant replace betamax betamax obsolete views,vhs tape come,1,0.0019725280572368
74882,412666,412666,sunscreen chemical protection sunblock physical protection sunblock physically blocks ultraviolet uv rays sunscreen absorbs rays,difference sunscreen sunblock,1,0.0019622692247945
75546,494327,494327,many calories lose one pound burn 3500 calories lose one pound weight use calorie counter regularly lose 20 pounds calorie deficit * 70000 calories lose 20 pounds * burn 70000 calories number calories eat,many calories burn lose weight,1,0.0019524667276116
75865,378972,378972,many different medical logistical characteristics considered organ distributed best-matched potential recipient specific criteria differ various organs matching criteria generally include : blood type size organs needed time spent awaiting transplant,kind match necessary organ transplant,1,0.0019479460224496
76019,416303,416303,2013 michel combes made $ 166 million usd vodafone group adr geographical former ceo former director compensation changed -859 % previous year compensation michel combes made average public executive executive colleagues vodafone group adr,michel combes net worth,1,0.0019457337877413
76505,395848,395848,underactive thyroid hypothyroidism doesnt produce enough hormone overactive thyroid hyperthyroidism produces much hormone symptoms may include unintentional weight gain loss persistent fatigue palpitations sensitivity hot cold temperatures health problems cause similar symptoms diagnosing hypothyroidism hyperthyroidism based symptoms alone possible,symptoms hyper hypothyroidism,1,0.00193801021692
78195,394151,394151,reports keppra causing barbiturates positive : 2 reports side effect keppra : 19758 percentage keppra patients barbiturates positive reported side effect : 00101 % fda reports drug causing barbiturates positive : 52 average percentage medicated patients barbiturates positive reported complication : 00003 %,keppra medication barbiturate,1,0.0019143012065284
78380,397024,397024,cerebral palsy birth injury caused general nature birthing process births head first part enter birth canal experiences much pressure delivery swelling bruising usually serious resolve within days,cerebral palsy birth injury,1,0.0019115870919366
79541,374082,374082,contrast inheritance tax based value property beneficiary receives person died iowa states relationship individual beneficiary decedent determines whether tax owed relationship also affects rate tax iowa,iowa law determines inheritance exceptions,1,0.00189572287485
80501,377724,377724,lunar regolith breccias fragmental breccias regolith name layer unconsolidated material surface planet - loose stuff overlies solid rock earth soil part regolith lunar regolith consequently often called soil lunar regolith,lunar regolith quizlet,1,0.0018821952557432
82464,420367,420367,osmosis spontaneous net movement solvent molecules semi-permeable membrane region higher solute concentration direction tends equalize solute concentrations two sides may also used describe physical process solvent moves across semipermeable membrane separating two solutions different concentrations osmosis made work osmotic pressure defined external pressure required applied net movement solvent across membrane osmotic pressure colligative property meaning osmotic pressure depends molar concentration solute identity,osmosis defined,1,0.0018557066535679
82792,417798,417798,get ready serious lols guys exclusive sneak peek apr 19 episode liv maddie called “ prom-a-rooney ” obviously hilarious clip see jessie star cameron boyce hop different disney show meet maddie shelby wulfert character um eccentric !,cameron boyce play liv maddie,1,0.0018515296131172
83145,32686,32686,: temporary assistance needy families tanf provides temporary cash families need families participate workfirst program workfirst program helps participants find keep jobs,tanf,1,0.0018474219813234
83684,200046,200046,us average savings account interest rate april 2016 national average savings account interest rate 006 percent balances according fdic — fed funds rate increase end 2015 national average money market account interest rate slightly higher however deposits less $ 100000 average money market account interest rate 008 percent ; deposits $ 100000 higher rate 012 percent rates remained steady since fed funds rate increase december 2015,average money market interest rates,1,0.0018404083448104
84942,374664,374664,systems programmer job summary systems programmer responsible installing modifying company ’ existing system software prepare install software studying technical capabilities operations,systems programmer job description,1,0.001824800035447
85570,379932,379932,minecraft - beacons sort defensive tool placed top pyramid made mixture diamond emerald gold iron blocks buff player within certain area-of-effect lasts short eight seconds pyramids low one level high using group nine blocks beacon top also high four levels using 164 blocks higher level buffs acquired right-clicking beacon brings interface allows players choose type buffs pyramid generates activate new power iron ingot gold ingot emerald diamond must used activation slot,beacon minecraft,1,0.0018172874290609
85603,415451,415451,search citation main function platelets maintenance hemostasis depends three properties endothelial supporting function platelets ability form hemostatic plugs release lipoprotein material platelet factor 3,function platelets,1,0.0018169622894767
86194,419928,419928,old dominion tuition fees state students $ 26220 2015 - 2016 school year prior adjustments financial need students pay less amount $ 22420 cost tuition $ 3800 cost fees,old dominion university tuition cost,1,0.0018093339863124
87853,422563,422563,decades later ho chi minh worked baker basement kitchen likely churning hotels deservedly famous eponymous parker house rolls jfk proposed jackie table parkers restaurant malcolm x worked busboy,hotel jfk propose jackie,1,0.0017896786910611
91336,61376,61376,veba acronym voluntary employee beneficiary asssociation veba account tax-free medical expense account retired people eligible dependents funded unused sick leave employee may accumulated time retirement,veba account,1,0.001747816433946
91426,383519,383519,joncas wrote eagles wings 1975-76 response death mother friend douglas hall first recorded 1979 quickly became joncas wrote eagles wings 1975-76 response death mother friend douglas hall first recorded 1979,wrote eagles wings,1,0.0017465789539036
92171,377634,377634,heroic realism art motif generally used propaganda strategy popularly efficiently used communistsocialist governments order control sway mentality people emotional visual cues,heroic realism,1,0.0017382932855014
92484,369774,369774,call dr maziar azadpour phone number 503 485-4787 information advice book appointment 875 oak st se suite 5080 salem 97301-3975 503 485-4787,dr azadpour phone number,1,0.0017347602096444
92524,380296,380296,enoch brown school massacre topic 1885 memorial enoch brown school massacre one notorious incidents pontiacs war july 26 1764 four delaware lenape american indians entered settlers log schoolhouse province pennsylvania franklin county near present-day city greencastle,enoch brown school massacre,1,0.0017342602067807
92712,418197,418197,phenix city info phenix city alabama located russell county zip codes phenix city al include 36870 36869 36867 median home price phenix city $ 119900 roughly $ 250per square foot phenix city information,phenix city,1,0.001732275638894
93051,189749,189749,persuasive essay essay used convince reader particular idea focus usually one believe persuasive essay could based anything opinion,persuasive essay,1,0.0017282677505908
93091,380986,380986,scarce hens teeth definition : extremely rare | meaning pronunciation translations examples english dictionary | thesaurus | translator | grammar | scrabble | blog english,scarce hens teeth meaning,1,0.0017277828661644
94236,428154,428154,fire whirl flames vortex fire whirl – also colloquially known fire devil fire tornado firenado fire twister – whirlwind induced fire often made flame ash fire whirls may occur intense rising heat turbulent wind conditions combine form whirling eddies air eddies contract tornado-like structure sucks burning debris combustible gases rarely however fire whirls grow become actual tornadoes violently rotating vortices connecting surface cumuliform pyrocumulus pyrocumulonimbus cloud base,fire tornado forms,1,0.0017153050346099
94265,372351,372351,frito lay hiring packaging machine operators fayetteville tennessee packaging machine operator responsible setting operating assigned packaging machines statistical weighers order pack optimum number quality packages product,frito lay packaging machine operator,1,0.0017150559076185
95352,416244,416244,background observation normal cavum septi pellucidi csp important landmark second third trimester prenatal ultrasound evaluation fetal brain visualisation provides reassurance normal central forebrain development,ventricles brain widely spaced csp,1,0.0017033179083574
97694,425171,425171,eating chia seeds pregnant harmful baby fact beneficial chia seeds possess variety nutrients help nourish child throughout pregnancy,chia seeds safe eat pregnant,1,0.0016777196630965
98256,371171,371171,plus ’ aiming weight loss calorie content pedialyte sports drinks likely negate effects moderate workout yet rehydrating drink like pedialyte enables body replenish retain fluids essential electrolytes longer plain water bottom line : aim make water 1 choice hydration pedialyte could benefits feeling particularly dehydrated long hot run feel would benefit electrolyte boost deraad says ’ possible make homemade version pedialyte using world health organization guidelines,effects using pedialyte,1,0.0016717575592888
98515,379179,379179,vasculitis cured treatment help reduce symptoms minimize develoment serious complications meningitis blindness aneurysm lungs treatment may include use medications interferon alfa control immune response inflammation,medications prescribed vasculitis,1,0.0016693261165217
98557,51495,51495,however maruti suzuki mini suv also come india ! maruti ignis price range inr 459-780 lakh read find maruti ignis price india mileage specifications new maruti mini suv 2016-17 also see- maruti ignis test drive review,ignis price india,1,0.001668849119738
98653,388368,388368,although plant onion seeds transplants onion bulbs also known sets disease resistant easy plant grow red onions readily available bulb form good choice prefer mild sweet crisp onion,grow red onions pot,1,0.0016678564913142
98862,12154,12154,carvedilol used treat high blood pressure heart failure also used heart attack improve chance survival heart pumping well lowering high blood pressure helps prevent strokes heart attacks kidney problems,carvedilol used,1,0.001665751362924
99514,400260,400260,cisco ios internetwork operating system proprietary operating system runs cisco systems routers switches making networks virtual : latest sdn technologies,cisco ios,1,0.0016585546723975
100413,427724,427724,grants scholarships grants scholarships often called “ gift aid ” free money—financial aid ’ repaid grants often need-based scholarships usually merit-based grants scholarships come federal government state government college career school private nonprofit organization research apply grants scholarships might eligible sure meet application deadlines !,difference scholarships grants loans,1,0.0016496637817965
102691,373154,373154,fever critical symptom chemotherapy often leads reduced white blood cell count called neutropenia condition causes patient ’ body less effective fighting infection neutropenic fever common chemotherapy patients fever indicate infection patients weakened immune system infections need treated cause greater complications,neutropenic fever mean,1,0.0016262012019033
103134,419903,419903,real mount kenya long serious climb involving many pitches fifth class rock climbing trekking peak ! two main peaks mount kenya highest batian 5199 meters slightly lower nelion 5188 meters two peaks area separated gate mists deep notch difficult cross,oh tall mount kenya,1,0.0016215073005673
104521,395380,395380,plus reduced physical activity golden years ratio muscle fat tends decrease get older ’ myth muscle “ weighs ” fat much body fat contributing factor serious health conditions like stroke coronary disease diabetes,body fat weigh muscle,1,0.0016073833304889
106362,419435,419435,maps location directions michigan international speedway us highway 12 brooklyn mi one mile west m50 67 miles southwest detroit michigan,michigan speedway located,1,0.0015895611843155
106611,410318,410318,dayton minnesota dayton city hennepin wright counties us state minnesota population 4671 2010 census dayton mainly located within hennepin county part city extends wright county well northernmost city hennepin county,county dayton mn,1,0.001587146614892
107272,397514,397514,test method ferrous sulfate ferrous sulfate - cas # 7720-78-7 information provided ferrous sulfate 7720-78-7 reference subject change warranty accuracy completeness information contained herein,sulfate cas number,1,0.0015807294067606
108506,405428,405428,total fiber loss calculation made based distance x loss factor distance case total length fiber cable map distance • type fiber – single mode fibers loss factor 025 @ 1550nm 035 @ 1310nm dbkm multimode fibers loss factor 25 @ 850nm 08 @ 1300nm dbkm,amount db loss allowed single mode cable,1,0.0015687884949651
108810,404260,404260,access control list acl respect computer file system list permissions attached objectan acl specifies users system processes granted access objects well operations allowed given objectseach entry typical acl specifies subject operationn 1990s acl rbac models extensively tested used administrate file permissions filesystem acl data structure usually table containing entries specify individual user group rights specific system objects programs processes files,acl,1,0.0015657307725984
109488,415209,415209,ping extremely hard working skillful considerate responsible individual pleasant colleague good football player one thing impressed pings loyalty friends work people around want one lean get things done man,ping zou,1,0.0015599164099173
109556,398118,398118,rating newest oldest best answer : rooming house refers house rooms rented usually access bath cooking facilities meals served boarding house similar rooming house except least two sometimes three meals provided dayating newest oldest best answer : rooming house refers house rooms rented usually access bath cooking facilities meals served boarding house similar rooming house except least two sometimes three meals provided day,constitutes rooming house,1,0.0015593538665261
109633,404853,404853,standard concrete garage floor 15 cm 6 inches thick use proper control joints thick enough withstand normal use,thick concrete garage floor,1,0.0015586384124914
111236,414443,414443,born lecil martin sterrett texas 1931 boxcar willie son railroad man used play fiddle porch son played guitar teens performing jamborees state gave show business enlist air force spent 22 years,played fiddle boxcar willie,1,0.001543831442696
111643,404893,404893,plastids cellular organelles contain several different pigments starch oil protein etc contain various pigments impart different colours leaves fruits parts plants plastids basis pigments classified chloroplasts chromoplasts leucoplasts,plastids,1,0.0015400854550918
112463,412116,412116,sponsored topics lake ozark city camden miller counties us state missouri near namesake lake ozarks population 1586 2010 census lake ozark located 38°11′55″n 92°38′20″w 3819861°n 9263889°w 3819861 ; -9263889,ozark lake missouri,1,0.0015329143499403
112476,382440,382440,primary secondary cell walls serve outer covering plasma membrane middle lamella acts intermediate partition two adjacent plant cells describe role plasmodesmata plant cell communication plasmodesmata form cytoplasmic channels lined membranes allow cytoplasm one plant cell run continuously adjacent cell plasmodesmata unify entire plant generating linkages among cells cytoskeletal structures sites plas-modesmata guide large molecules towards channels facilitating entry adjacent cells test knowledge question 1 following enclose plant cell collagen cellulose b middle lamella c primary cell wall secondary cell wall e,following structures form cytoplasmic channels connect adjacent plant cells cell walls,1,0.0015327801936874
114026,387087,387087,adults underweight bmi 185 healthy weight bmi 185 249 overweight bmi 25 299 obese bmi 30 * child ’ bmi percentile calculated comparing child ’ bmi growth charts children age sex child,overweight age,1,0.0015191174605432
114226,413570,413570,managed definition bring succeed accomplishing sometimes despite difficulty hardship : managed see governor manage small income see,managed meaning,1,0.0015174672746022
114589,406394,406394,awning windows hinged top swing outward bottom glide open shut turn one easy-to-reach handle awning windows pella often placed windows add architectural interest light ventilation room keeping rain choose several different product lines material types suit preferences,awning window,1,0.0015143110663082
119107,396168,396168,last reviewed rxlist 11182016 farxiga dapagliflozin sodium-glucose co-transporter 2 sglt2 inhibitor used adjunct diet exercise improve glycemic control adults type 2 diabetes mellitus common side effects farxiga include : yeast infections vagina penis urinary tract infections,diabetes medication farxiga,1,0.001475681585408
119476,381730,381730,definition diagram - simplified drawing showing appearance structure workings something ; schematic representation definition diagram - simplified drawing showing appearance structure workings something ; schematic representation,definition diagram,1,0.0014728017088137
120573,392170,392170,answer : ibn ibn crossword puzzle answer spotted 48 times referring clues : part mideast name ___ saud former mideast leader relative mac-,ibn means crossword,1,0.0014642650907416
120631,405199,405199,message page learn upcoming events two rivers supervisory union located ludlow vt serves towns andover baltimore cavendish chester ludlow mount holly plymouthvt 128 people like 132 people follow,two rivers supervisory union,1,0.0014637564720042
120687,399443,399443,clearing date specifies item regarded cleared clearing last posting date documents involved clearing set clearing date example : rental invoice march entered 02272014 posting date set 03012014,clearing date definition sap,1,0.0014633019439596
121609,423306,423306,enlarge extend ; enlarge rule plead extend time defendant may plead enlarge means also set liberty ; prisoner enlarged giving bail,enlarge definition,1,0.0014557036141043
121649,271153,271153,piece gut cello string catgut type cord prepared natural fibre found walls animal intestines catgut makers usually use sheep goat intestines occasionally use intestines cattle hogs horses mules donkeys despite name catgut manufacturers use cat intestines,cat gut snares made,1,0.0014553318233867
122320,398530,398530,barron [ bar-ron ] boys name old english name meaning barron burned clearing ; young warrior barron alternate spelling barnett old english barron also variant baron old german old english associated old english clearing meadow warrior,barron,1,0.0014499153910261
124725,384257,384257,trina net worth $ 8 million trina songwriterrapper well model net worth $ 8 million trina earned net worth success rapper many rap albums singles well mix tapes,much trina worth,1,0.0014307028253142
125349,405040,405040,hourly forecast detailed 0am : anacortes wa forecast apr 12 45 degrees patchy rain possible 74 percentage chance rain 8 mph winds north-northeast 3am : anacortes wa forecast apr 12 44 degrees patchy rain possible 75 percentage chance rain 7 mph winds north-northeast 6am : anacortes wa forecast apr 12 44 degrees light rain 79 percentage chance rain 5 mph winds east-northeast 9am : anacortes wa forecast apr 12 48 degrees patchy light rain 85 percentage chance rain 7 mph winds east-southeast,weather anacortes wa,1,0.0014256395619241
125613,195300,195300,dean heller dean arthur heller born may 10 1960 senior united states senator nevada member republican party elected nevada states open us senate seat 2012,dean heller,1,0.001423550164787
126380,405799,405799,vertigo sensation spinning - specific kind dizziness12 dizziness defines vertigo one two causes - disturbance either balance organs inner ear parts brain sensory nerve pathways peripheral vertigo collectively refers vertigo caused inner ear problems,causes vertigo,1,0.0014174839019748
126407,408405,408405,yes meat feral hogs extremely tasty much leaner penraised pork meat older boars may tougher rank tasting prepared adequately pork care taken meat well cooked otherwise prepared like market hogs,wild hogs good eating,1,0.0014172472376253
127927,396757,396757,busan lotte town tower also known busan lotte world tower 108-floor 5101 supertall skyscraper hold busan south korea tower planned site next nampo-dong station busan subway line 1 tower centerpiece new busan lotte town construction carried four phases first phase includes department store completed 2009 second phase addition department store completed 2010 third phase mark,lotte world skyscraper,1,0.0014055221096628
129715,410771,410771,merlin dura-mesh pool safety cover - ground winter pool cover 20x40ft pool size merlin dura-mesh safety ground pool cover 20x40ft pool size 15-year dura-mesh winter pool safety cover made 33 % stronger mesh materials standard mesh pool cover available market today,mesh size dura mesh pool safety covers inground pools,1,0.0013917579041741
130039,370126,370126,people develop new regular moles age 30 adults often develop non-mole growths like freckles lentigines “ liver spots ” seborrheic keratosis later adulthood new moles appearing age 30 may require close observation medical evaluation possible biopsy brand new mole adult may sign evolving abnormal mole early melanoma important new changing mole evaluated dermatologist,age moles appear,1,0.0013892402669335
130291,381902,381902,rivus wellness research institute medical group practice located oklahoma city ok,rivus wellness research institute,1,0.0013873904763758
130608,416927,416927,junction boxes particularly useful running cable conduit exterior structure serve weather proof container protect power video connections elements also provide flat surface mount cameras,junction mounts needed cameras,1,0.0013848820033685
131240,399279,399279,evap purge solenoid controls flow vapors evap system intake manifold normally closed solenoid pulse width modulated pwm control module precisely control flow fuel vapor engine solenoid also opened,evap purge solenoid,1,0.0013801763600619
131717,410350,410350,“ past year conversation legalize cultivation hemp gained momentum federal level matter time farmer ’ right grow hemp restored ” federal law hemp production illegal banned since 1957 relation hemp plants marijuana hemp contains insignificantly low amount tetrahydrocannabinol chemical marijuana produces high,growing hemp illegal,1,0.0013768981337049
134705,389782,389782,youre first trimester cant hear babys heartbeat dont worry dopplers cant reliably detect babys heartbeat 10 12 weeks doctor may try next visit ultrasound may give clearer results often test done pregnancy doctor may use doppler often listen babys heartbeat routine checkups starting 8 10 weeks handheld dopplers work quite early names,many weeks pregnant find heartbeat,1,0.0013547418259336
135609,379370,379370,estimated number people world speak english fluently 30 percent population worlds population 7264712400 people thi…s would mean roughly 2179413720 people world currently speak english fluently,percentage people world speak english,1,0.0013485161160784
136106,396433,396433,journal consumer psychology 1012 37-53 copyright 2001 lawrence erlbaum associates inc continuous discrete variables iia measure variable continuous categorical scenario worse : dependent variable dv ; eg consumption measured continuous variable even,dv stand psychology,1,0.0013449168803799
137337,379871,379871,cyclophosphamide synthetic alkylating agent chemically related nitrogen mustards antineoplastic immunosuppressive activities liver cyclophosphamide converted active metabolites aldophosphamide phosphoramide mustard bind dna thereby inhibiting dna replication initiating cell death check active clinical trials using agent,define cyclophosphamide,1,0.0013364075077225
137950,416852,416852,mother virgin mary wife st joachim unhappy withoout child angle came told would give birt … h saint anne protector woman labour feast day july 26,st anne die,1,0.0013319871632068
137997,402968,402968,granix ; neupogen ; zarxio brand names : canada grastofil ; neupogen drug used used lower chance getting infection people bone marrow problems caused chemo used raise number white blood cells certain patients used patients exposed certain doses radiation may given child reasons,zarxio medication use,1,0.0013316099863535
139757,374578,374578,definition amp : nucleotide c10h12n5o3h2po4 composed adenosine one phosphate group reversibly convertible adp atp metabolic reactions —called also adenosine monophosphate adenylic acid — compare cyclic amp,amp definition,1,0.0013194561512702
140248,420955,420955,frictional force air depends air pressure density shape falling body etc example terminal velocity sheet paper balloon much smaller terminal bb weighing amount however make estimate human body said although ive never tried terminal velocity ordinary person falling normal atmosphere low altitudes around v0 = 200 kilometers per hour ~ 120 mph,terminal velocity humans,1,0.0013164028982304
141313,381410,381410,deserts lie 15° 35° north south equator created air rises equator comes tropic cancer tropic capricorn world many deserts lie regions,deserts,1,0.0013087310859165
143301,402388,402388,losartan erectile dysfunction common questions answers losartan erectile dysfunction cozaar worry erectile dysfunction low blood pressure probably side effect medication taking low bp tell cardiologist told heart attack unless faint,losartan side effects erectile dysfunction,1,0.0012954625160009
143441,414806,414806,properties breadfruit bread fruit pulp fresh contains 70 % water contains significant amount vitamins minerals dried breadfruit ’ composition similar wheat flour wheat flour contains proteins less vitamins minerals fats breadfruit health benefits medicinal uses breadfruit,properties breadfruit flour,1,0.0012944954489026
144032,406802,406802,sheridan county wyoming sheridan county county located us state wyoming 2010 census population 29116 county seat sheridan south montana state line sheridan county comprises sheridan wy micropolitan statistical area,county sheridan,1,0.0012908371053206
144866,52334,52334,’ quite right president bill clinton impeached two charges : perjury obstruction justice mr clinton lied oath affair monica lewinsky grounds impeachment say republicans hated mr clinton much impeached philandering like saying democrats hated richard nixon much impeached two-bit burglary,bill clinton lie oath,1,0.0012859016704606
145280,401588,401588,sulfur-including foods lead diarrhea cases foods like onions garlic broccoli cabbage cauliflower amounts insoluble fiber main cause diarrhea gas within gastrointestinal system,list foods cause diarrhea,1,0.0012834155241556
145684,419330,419330,people iceland speak danish speak scandinavian language called icelandic ’ one unchanged languages world thanks iceland ’ geographic isolation similar old norse spoken original settlers,people speak icelandic,1,0.0012806491924411
145833,395703,395703,symptoms sugar withdrawal include headaches fatigue depression drowsiness skin eruptions mucus throat discomfort symptoms especially mood swings fatigue drowsiness occur daily basis blood sugar rises falls high-sugar diet,sugar caffeine withdrawal symptoms,1,0.0012795103198269
146454,408002,408002,honea path town primarily anderson county south carolina extending abbeville county northwest part state population 3597 2010 census,county honea path sc,1,0.0012755591640764
146670,417301,417301,bali also known premium commercial industry standard kratom youre looking basics pure simple kratom - ! bali mix 3 color bali staple bali,products bali known,1,0.0012742257963788
148356,403291,403291,largest known giant ghana snail shell length 30 cm 1 ft diameter 15 cm 05 ft species snail lives west africa : ghana nigeria sierra leone ivory coast benin liberia togo venomous snake world largest octopus world,largest snail world,1,0.0012631734624667
148870,420198,420198,benson radiology benson radiology leader diagnostic interventional radiology delivering doctors patients high quality imaging care since 1958 invest latest technology imaging techniques across network 22 clinics operating across adelaide south-east south australia,benson radiology,1,0.0012598942055221
148955,3514,3514,psychic spiritual realms rose quartz often used attract love love spells charms also used ease process transition dying make transition gentle surrounded unconditional love divine rose quartz also helpful dream recall dream work,rose quartz used etc,1,0.0012594184300752
148993,390725,390725,copper one elements essential life tiny amounts often referred trace elements although larger amounts toxic 00004 percent weight human body copper found foods liver shellfish nuts raisins dried beans,copper one metals needed human body,1,0.0012591319920204
149528,395447,395447,job description marketing communications specialist category : marketing reports : job description assists sales marketing management communications media advertising materials effectively represent publicize company ’ products services customers prospects,marketing communication specialist job duties,1,0.001255907522771
149668,383166,383166,close park fire hydrant quick answer : city fire hydrant parking laws state must parked least 15 feet away fire hydrant full standard sedan car length color curb hydrant irrelevant details : ’ cruising around mid-summer heat think stumbled onto perfect parking spot,far away fire hydrant parking,1,0.001255142857926
149761,400925,400925,key look seven teething symptoms biting usual teething symptom wii turn baby vampire ! bite bite bite anything plastic spoons toys breast ! find griffin likes hard plastic things chew best,symptoms teething babies,1,0.0012545924100246
152014,412527,412527,relaxation technique forms relaxation see relaxation relaxation technique also known relaxation training method process procedure activity helps person relax ; attain state increased calmness ; otherwise reduce levels pain anxiety stress anger,relaxation training techniques,1,0.0012403688270519
152028,413757,413757,$ 30 - $ 35 million per year derek jeter net worth salary : derek jeter american baseball player net worth $ 185 million dollars derek jeter one popular highest-paid athletes recent sports history,much derek jeter worth,1,0.0012402513440727
